Sector,Year,Value
Financial ,2017,15
Social Media,2017,3
SAAS / Webmail,2017,16
Other,2017,7
Logistics / Shipping,2017,1.83
Payment,2017,42
Telecommunication,2017,3
eCommerce / Retail,2017,3
Cryptocurrency,2017,0
Gaming,2017,0
Travel ,2017,0
Financial ,2018,15.7
Social Media,2018,3.1
SAAS / Webmail,2018,20.1
Other,2018,13.2
Logistics / Shipping,2018,3.2
Payment,2018,38.2
Telecommunication,2018,3.2
eCommerce / Retail,2018,0
Cryptocurrency,2018,0
Gaming,2018,0
Travel ,2018,0
Financial ,2019,19.8
Social Media,2019,6.8
SAAS / Webmail,2019,30.8
Other,2019,12
Logistics / Shipping,2019,0
Payment,2019,19.8
Telecommunication,2019,3.3
eCommerce / Retail,2019,5.4
Cryptocurrency,2019,0
Gaming,2019,0
Travel ,2019,0
Financial ,2020,19.2
Social Media,2020,12.6
SAAS / Webmail,2020,31.4
Other,2020,6.7
Logistics / Shipping,2020,4.2
Payment,2020,13.4
Telecommunication,2020,3.2
eCommerce / Retail,2020,7.2
Cryptocurrency,2020,0
Gaming,2020,0
Travel ,2020,0
Financial ,2021,17.8
Social Media,2021,11
SAAS / Webmail,2021,29.1
Other,2021,9.3
Logistics / Shipping,2021,3.5
Payment,2021,7.1
Telecommunication,2021,3.5
eCommerce / Retail,2021,13.1
Cryptocurrency,2021,5.6
Gaming,2021,0
Travel ,2021,0
Financial ,2022,23
Social Media,2022,11
SAAS / Webmail,2022,17
Other,2022,30
Logistics / Shipping,2022,6
Payment,2022,4
Telecommunication,2022,3
eCommerce / Retail,2022,4
Cryptocurrency,2022,2
Gaming,2022,0
Travel ,2022,0
Financial ,2023,24.9
Social Media,2023,18.9
SAAS / Webmail,2023,16.4
Other,2023,9
Logistics / Shipping,2023,6.8
Payment,2023,6.6
Telecommunication,2023,6.5
eCommerce / Retail,2023,6.3
Cryptocurrency,2023,1.8
Gaming,2023,1.4
Travel ,2023,1.4
